country_key,country,iso_code
100,Afghanistan,AFG
103,Aland Islands,ALA
104,Albania,ALB
105,Algeria,DZA
106,American Samoa,ASM
107,Andorra,AND
108,Angola,AGO
109,Anguilla,AIA
110,Antarctica,ATA
111,Antigua and Barbuda,ATG
112,Argentina,ARG
113,Armenia,ARM
114,Aruba,ABW
118,Australia,AUS
119,Austria,AUT
120,Azerbaijan,AZE
121,Bahamas,BHS
122,Bahrain,BHR
123,Bangladesh,BGD
124,Barbados,BRB
125,Belarus,BLR
126,Belgium,BEL
127,Belize,BLZ
128,Benin,BEN
129,Bermuda,BMU
130,Bhutan,BTN
131,Bolivia,BOL
132,Bonaire Sint Eustatius and Saba,BES
133,Bosnia and Herzegovina,BIH
134,Botswana,BWA
135,Brazil,BRA
136,British Virgin Islands,VGB
137,Brunei,BRN
138,Bulgaria,BGR
139,Burkina Faso,BFA
140,Burundi,BDI
141,Cambodia,KHM
142,Cameroon,CMR
143,Canada,CAN
144,Cape Verde,CPV
145,Central African Republic,CAF
147,Chad,TCD
148,Chile,CHL
149,China,CHN
150,Christmas Island,CXR
151,Colombia,COL
152,Comoros,COM
153,Congo,COG
154,Cook Islands,COK
155,Costa Rica,CRI
156,Cote d'Ivoire,CIV
157,Croatia,HRV
158,Cuba,CUB
159,Curacao,CUW
160,Cyprus,CYP
161,Czechia,CZE
162,Democratic Republic of Congo,COD
163,Denmark,DNK
164,Djibouti,DJI
165,Dominica,DMA
166,Dominican Republic,DOM
167,East Timor,TLS
168,Ecuador,ECU
169,Egypt,EGY
170,El Salvador,SLV
171,Equatorial Guinea,GNQ
172,Eritrea,ERI
173,Estonia,EST
174,Eswatini,SWZ
175,Ethiopia,ETH
183,Falkland Islands,FLK
184,Faroe Islands,FRO
185,Fiji,FJI
186,Finland,FIN
187,France,FRA
190,French Guiana,GUF
191,French Polynesia,PYF
194,Gabon,GAB
195,Gambia,GMB
196,Georgia,GEO
197,Germany,DEU
198,Ghana,GHA
199,Greece,GRC
200,Greenland,GRL
201,Grenada,GRD
202,Guadeloupe,GLP
203,Guatemala,GTM
204,Guernsey,GGY
205,Guinea,GIN
206,Guinea-Bissau,GNB
207,Guyana,GUY
208,Haiti,HTI
210,Honduras,HND
211,Hong Kong,HKG
212,Hungary,HUN
213,Iceland,ISL
214,India,IND
215,Indonesia,IDN
217,Iran,IRN
218,Iraq,IRQ
219,Ireland,IRL
220,Isle of Man,IMN
221,Israel,ISR
222,Italy,ITA
223,Jamaica,JAM
224,Japan,JPN
225,Jersey,JEY
226,Jordan,JOR
227,Kazakhstan,KAZ
228,Kenya,KEN
229,Kiribati,KIR
231,Kuwait,KWT
234,Kyrgyzstan,KGZ
235,Laos,LAO
236,Latvia,LVA
238,Lebanon,LBN
241,Lesotho,LSO
242,Liberia,LBR
243,Libya,LBY
244,Liechtenstein,LIE
245,Lithuania,LTU
248,Luxembourg,LUX
249,Macao,MAC
250,Madagascar,MDG
251,Malawi,MWI
252,Malaysia,MYS
253,Maldives,MDV
254,Mali,MLI
255,Malta,MLT
256,Marshall Islands,MHL
257,Martinique,MTQ
258,Mauritania,MRT
259,Mauritius,MUS
260,Mayotte,MYT
261,Mexico,MEX
262,Micronesia (country),FSM
264,Moldova,MDA
265,Mongolia,MNG
266,Montenegro,MNE
267,Montserrat,MSR
268,Morocco,MAR
269,Mozambique,MOZ
270,Myanmar,MMR
271,Namibia,NAM
272,Nauru,NRU
273,Nepal,NPL
274,Netherlands,NLD
275,Netherlands Antilles,ANT
276,New Caledonia,NCL
277,New Zealand,NZL
278,Nicaragua,NIC
279,Niger,NER
280,Nigeria,NGA
281,Niue,NIU
286,North Korea,PRK
287,North Macedonia,MKD
288,Norway,NOR
293,Oman,OMN
294,Pakistan,PAK
295,Palau,PLW
296,Palestine,PSE
297,Panama,PAN
300,Papua New Guinea,PNG
301,Paraguay,PRY
302,Peru,PER
303,Philippines,PHL
304,Poland,POL
