temp_key,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o
30137,0.1,0.0,0.0,0.001,0.0
30138,0.098,0.0,0.0,0.001,0.0
30139,0.095,0.0,0.0,0.001,0.0
30140,0.093,0.0,0.0,0.001,0.0
30141,0.091,0.0,0.0,0.001,0.0
30142,0.09,0.0,0.0,0.001,0.0
30143,0.088,0.0,0.0,0.001,0.0
30144,0.087,0.0,0.0,0.001,0.0
30145,0.085,0.0,0.0,0.001,0.0
30146,0.084,0.0,0.0,0.001,0.0
30147,0.083,0.0,0.0,0.001,0.0
30148,0.082,0.0,0.0,0.001,0.0
30149,0.081,0.0,0.0,0.001,0.0
30150,0.08,0.0,0.0,0.001,0.0
30151,0.079,0.0,0.0,0.001,0.0
30152,0.078,0.0,0.0,0.001,0.0
30153,0.078,0.0,0.0,0.001,0.0
30154,0.077,0.0,0.0,0.001,0.0
30155,0.077,0.0,0.0,0.001,0.0
30156,0.077,0.0,0.0,0.001,0.0
30157,0.077,0.0,0.0,0.001,0.0
30158,0.077,0.0,0.0,0.001,0.0
30159,0.078,0.0,0.0,0.001,0.0
30160,0.078,0.0,0.0,0.001,0.0
30161,0.079,0.0,0.0,0.001,0.0
30162,0.08,0.001,0.0,0.001,0.0
30163,0.08,0.001,0.0,0.001,0.0
30164,0.081,0.001,0.0,0.001,0.0
30165,0.081,0.001,0.0,0.001,0.0
30166,0.082,0.001,0.0,0.001,0.0
30167,0.082,0.001,0.0,0.001,0.0
30168,0.082,0.001,0.001,0.001,0.0
30169,0.082,0.001,0.001,0.001,0.0
30170,0.082,0.001,0.001,0.001,0.0
30171,0.083,0.001,0.001,0.001,0.0
30273,6.82,0.0,0.0,0.0,0.0
30274,6.983,0.0,0.0,0.0,0.0
30275,7.104,0.0,0.0,0.0,0.0
30276,7.165,0.0,0.0,0.001,0.0
30277,7.236,0.0,0.001,0.001,0.0
30278,7.283,0.0,0.001,0.001,0.0
30279,7.328,0.0,0.001,0.001,0.0
30280,7.368,0.0,0.001,0.001,0.0
30281,7.4,0.0,0.001,0.001,0.0
30282,7.277,0.0,0.001,0.001,0.0
30283,7.13,0.0,0.001,0.001,0.0
30284,6.977,0.0,0.001,0.002,0.0
30285,6.83,0.0,0.001,0.002,0.0
30286,6.691,0.0,0.001,0.002,0.0
30287,6.568,0.0,0.001,0.002,0.0
30288,6.454,0.0,0.001,0.002,0.0
30289,6.348,0.0,0.001,0.002,0.0
30290,6.251,0.0,0.002,0.002,0.0
30291,6.163,0.0,0.002,0.002,0.0
30292,6.075,0.001,0.002,0.002,0.0
30293,5.986,0.001,0.002,0.002,0.0
30294,5.896,0.001,0.002,0.002,0.0
30295,5.808,0.001,0.002,0.003,0.0
30296,5.73,0.001,0.002,0.003,0.0
30297,5.654,0.001,0.002,0.003,0.0
30298,5.583,0.001,0.002,0.003,0.0
30299,5.516,0.001,0.002,0.003,0.0
30300,5.451,0.001,0.002,0.003,0.0
30301,5.389,0.001,0.002,0.003,0.0
30302,5.325,0.001,0.002,0.003,0.0
30303,5.267,0.001,0.002,0.003,0.0
30304,5.208,0.001,0.002,0.003,0.0
30305,5.147,0.001,0.002,0.003,0.0
30306,5.091,0.001,0.002,0.004,0.0
30307,5.038,0.001,0.002,0.004,0.0
30308,4.989,0.001,0.002,0.004,0.0
30309,4.94,0.001,0.003,0.004,0.0
30310,4.889,0.001,0.003,0.004,0.0
30311,4.841,0.001,0.003,0.004,0.0
30312,4.794,0.001,0.003,0.004,0.0
30313,4.747,0.001,0.003,0.004,0.0
30314,4.705,0.001,0.003,0.004,0.0
30315,4.669,0.001,0.003,0.005,0.0
30316,4.632,0.001,0.003,0.005,0.0
30317,4.597,0.001,0.003,0.005,0.0
30318,4.563,0.001,0.003,0.005,0.0
30319,4.53,0.001,0.003,0.005,0.0
30320,4.498,0.002,0.003,0.005,0.0
30321,4.464,0.002,0.003,0.005,0.0
30322,4.431,0.002,0.003,0.005,0.0
30323,4.404,0.002,0.003,0.006,0.0
30324,4.38,0.002,0.004,0.006,0.0
30325,4.359,0.002,0.004,0.006,0.0
30326,4.34,0.002,0.004,0.006,0.0
30327,4.323,0.002,0.004,0.006,0.0
30328,4.308,0.002,0.004,0.006,0.0
30329,4.289,0.002,0.004,0.006,0.0
30330,4.277,0.002,0.004,0.007,0.001
30331,4.266,0.002,0.004,0.007,0.001
30332,4.26,0.002,0.004,0.007,0.001
30333,4.26,0.002,0.005,0.007,0.001
30334,4.263,0.002,0.005,0.007,0.001
30335,4.266,0.002,0.005,0.008,0.001
30336,4.278,0.002,0.005,0.008,0.001
30337,4.295,0.002,0.005,0.008,0.001
30338,4.312,0.002,0.005,0.008,0.001
30339,4.329,0.002,0.005,0.009,0.001
30340,4.351,0.003,0.006,0.009,0.001
30341,4.382,0.003,0.006,0.009,0.001
30342,4.412,0.003,0.006,0.009,0.001
30343,4.452,0.003,0.006,0.01,0.001
30344,4.491,0.003,0.006,0.01,0.001
30345,4.528,0.003,0.007,0.01,0.001
30346,4.566,0.003,0.007,0.011,0.001
30347,4.607,0.003,0.007,0.011,0.001
30348,4.65,0.003,0.007,0.011,0.001
30349,4.691,0.003,0.007,0.012,0.001
30350,4.732,0.003,0.008,0.012,0.001
30351,4.771,0.003,0.008,0.012,0.001
30352,4.821,0.003,0.008,0.013,0.001
30353,4.881,0.004,0.008,0.013,0.001
30354,4.946,0.004,0.009,0.013,0.001
30355,5.011,0.004,0.009,0.014,0.001
30356,5.072,0.004,0.009,0.014,0.001
30357,5.13,0.004,0.01,0.015,0.001
30358,5.186,0.004,0.01,0.015,0.001
30359,5.239,0.004,0.01,0.016,0.001
30360,5.295,0.004,0.011,0.016,0.001
30361,5.348,0.004,0.011,0.017,0.001
30362,5.423,0.005,0.012,0.017,0.001
30363,5.513,0.005,0.012,0.018,0.001
30364,5.614,0.005,0.013,0.019,0.001
30365,5.723,0.005,0.013,0.019,0.001
30366,5.837,0.005,0.014,0.02,0.001
30367,5.963,0.005,0.014,0.021,0.001
30368,6.088,0.005,0.015,0.022,0.002
30369,6.209,0.006,0.016,0.023,0.002
30370,6.33,0.006,0.016,0.024,0.002
30371,6.455,0.006,0.017,0.025,0.002
30372,6.599,0.006,0.018,0.026,0.002
30373,6.726,0.006,0.018,0.027,0.002
30374,6.841,0.007,0.019,0.028,0.002
30375,6.951,0.007,0.02,0.029,0.002
30376,7.059,0.007,0.02,0.03,0.002
30377,7.158,0.008,0.021,0.031,0.002
30378,7.251,0.008,0.022,0.032,0.002
30379,7.342,0.008,0.022,0.033,0.003
30380,7.429,0.009,0.023,0.035,0.003
30381,7.509,0.009,0.024,0.036,0.003
30382,7.588,0.01,0.025,0.037,0.003
30383,7.664,0.01,0.025,0.039,0.003
30384,7.728,0.011,0.026,0.04,0.003
30385,7.786,0.011,0.027,0.041,0.003
30386,7.834,0.012,0.027,0.042,0.003
30387,7.879,0.013,0.028,0.044,0.003
30388,7.939,0.013,0.028,0.045,0.003
30389,8.003,0.014,0.029,0.047,0.003
30390,8.052,0.015,0.029,0.048,0.003
30391,8.11,0.016,0.03,0.05,0.004
30392,8.164,0.017,0.031,0.051,0.004
30393,8.193,0.018,0.031,0.053,0.004
30394,8.225,0.019,0.032,0.054,0.004
30395,8.251,0.019,0.032,0.056,0.004
30396,8.268,0.02,0.033,0.057,0.004
30397,8.279,0.021,0.033,0.059,0.004
30398,8.295,0.022,0.034,0.06,0.004
30399,8.316,0.023,0.034,0.062,0.004
30400,8.329,0.024,0.035,0.063,0.004
30401,8.359,0.025,0.036,0.065,0.004
30402,8.379,0.026,0.036,0.066,0.005
30403,8.375,0.026,0.037,0.068,0.005
30404,8.378,0.027,0.037,0.069,0.005
30405,8.385,0.028,0.038,0.07,0.005
30406,8.398,0.028,0.039,0.072,0.005
30407,8.411,0.029,0.039,0.073,0.005
30408,8.408,0.029,0.04,0.075,0.005
30409,8.401,0.03,0.041,0.076,0.005
30410,8.401,0.031,0.042,0.078,0.005
30411,8.395,0.031,0.042,0.079,0.005
30412,8.397,0.032,0.043,0.08,0.006
30413,8.411,0.032,0.044,0.082,0.006
30414,8.431,0.033,0.045,0.084,0.006
30415,8.453,0.034,0.046,0.085,0.006
30416,8.49,0.035,0.046,0.087,0.006
30417,8.54,0.036,0.047,0.089,0.006
30418,8.59,0.037,0.048,0.091,0.006
30419,8.626,0.038,0.049,0.093,0.007
30420,8.674,0.039,0.05,0.095,0.007
30421,8.706,0.039,0.051,0.097,0.007
30422,8.746,0.04,0.052,0.099,0.007
30423,8.794,0.041,0.053,0.101,0.007
30424,8.834,0.042,0.054,0.104,0.007
30425,8.879,0.043,0.055,0.106,0.007
30426,8.922,0.045,0.056,0.108,0.008
30427,8.963,0.046,0.057,0.111,0.008
30428,8.995,0.047,0.058,0.113,0.008
30429,9.027,0.048,0.059,0.115,0.008
30430,9.065,0.049,0.06,0.118,0.008
30431,9.099,0.05,0.062,0.12,0.008
30432,9.131,0.051,0.063,0.123,0.009
30433,9.158,0.052,0.064,0.125,0.009
30434,9.183,0.053,0.066,0.128,0.009
30435,9.202,0.054,0.067,0.13,0.009
30436,9.211,0.055,0.068,0.132,0.009
30437,9.21,0.056,0.07,0.135,0.01
30438,9.206,0.056,0.071,0.137,0.01
30439,9.206,0.057,0.072,0.139,0.01
30440,9.202,0.058,0.073,0.141,0.01
30441,9.196,0.059,0.075,0.144,0.01
30442,9.191,0.059,0.076,0.146,0.011
30443,9.186,0.06,0.077,0.148,0.011
30789,0.034,0.0,0.0,0.0,0.0
30790,0.034,0.0,0.0,0.0,0.0
30791,0.034,0.0,0.0,0.0,0.0
30792,0.034,0.0,0.0,0.0,0.0
30793,0.034,0.0,0.0,0.0,0.0
30794,0.034,0.0,0.0,0.0,0.0
30795,0.034,0.0,0.0,0.0,0.0
30796,0.034,0.0,0.0,0.0,0.0
30797,0.034,0.0,0.0,0.0,0.0
30798,0.034,0.0,0.0,0.0,0.0
30799,0.035,0.0,0.0,0.0,0.0
30800,0.035,0.0,0.0,0.0,0.0
30801,0.035,0.0,0.0,0.0,0.0
30802,0.035,0.0,0.0,0.0,0.0
30803,0.035,0.0,0.0,0.0,0.0
30804,0.035,0.0,0.0,0.0,0.0
30805,0.035,0.0,0.0,0.0,0.0
30806,0.036,0.0,0.0,0.0,0.0
30807,0.036,0.0,0.0,0.0,0.0
30808,0.036,0.0,0.0,0.0,0.0
30809,0.036,0.0,0.0,0.0,0.0
30810,0.036,0.0,0.0,0.0,0.0
30811,0.036,0.0,0.0,0.0,0.0
30812,0.036,0.0,0.0,0.0,0.0
30813,0.036,0.0,0.0,0.0,0.0
30814,0.036,0.0,0.0,0.0,0.0
30815,0.036,0.0,0.0,0.0,0.0
30816,0.036,0.0,0.0,0.0,0.0
30817,0.036,0.0,0.0,0.0,0.0
30818,0.036,0.0,0.0,0.0,0.0
30819,0.036,0.0,0.0,0.0,0.0
30820,0.035,0.0,0.0,0.0,0.0
30821,0.035,0.0,0.0,0.0,0.0
30822,0.035,0.0,0.0,0.0,0.0
30823,0.035,0.0,0.0,0.0,0.0
30824,0.035,0.0,0.0,0.0,0.0
30825,0.035,0.0,0.0,0.0,0.0
30826,0.035,0.0,0.0,0.0,0.0
30827,0.035,0.0,0.0,0.0,0.0
30828,0.034,0.0,0.0,0.0,0.0
30829,0.034,0.0,0.0,0.0,0.0
30830,0.034,0.0,0.0,0.0,0.0
30831,0.034,0.0,0.0,0.0,0.0
30832,0.034,0.0,0.0,0.0,0.0
30833,0.034,0.0,0.0,0.0,0.0
30834,0.034,0.0,0.0,0.0,0.0
30835,0.034,0.0,0.0,0.0,0.0
30836,0.033,0.0,0.0,0.0,0.0
30837,0.033,0.0,0.0,0.0,0.0
30838,0.033,0.0,0.0,0.0,0.0
30839,0.033,0.0,0.0,0.0,0.0
30840,0.033,0.0,0.0,0.0,0.0
30841,0.033,0.0,0.0,0.0,0.0
30842,0.032,0.0,0.0,0.0,0.0
30843,0.032,0.0,0.0,0.0,0.0
30844,0.032,0.0,0.0,0.0,0.0
30845,0.032,0.0,0.0,0.0,0.0
30846,0.032,0.0,0.0,0.0,0.0
30847,0.032,0.0,0.0,0.0,0.0
30848,0.031,0.0,0.0,0.0,0.0
30849,0.031,0.0,0.0,0.0,0.0
30850,0.031,0.0,0.0,0.0,0.0
30851,0.031,0.0,0.0,0.0,0.0
30852,0.03,0.0,0.0,0.0,0.0
30853,0.03,0.0,0.0,0.0,0.0
30854,0.03,0.0,0.0,0.0,0.0
30855,0.03,0.0,0.0,0.0,0.0
30856,0.03,0.0,0.0,0.0,0.0
30857,0.03,0.0,0.0,0.0,0.0
30858,0.029,0.0,0.0,0.0,0.0
30859,0.029,0.0,0.0,0.0,0.0
30860,0.029,0.0,0.0,0.0,0.0
30861,0.029,0.0,0.0,0.0,0.0
30862,0.029,0.0,0.0,0.0,0.0
30863,0.028,0.0,0.0,0.0,0.0
30864,0.028,0.0,0.0,0.0,0.0
30865,0.028,0.0,0.0,0.0,0.0
30866,0.028,0.0,0.0,0.0,0.0
30867,0.027,0.0,0.0,0.0,0.0
30868,0.027,0.0,0.0,0.0,0.0
