continent,population,gdp,co2,land_use_change_co2
Africa,290054154.3876652,,180.63855147058825,961.3528662790698
Asia,1558714576.7180617,,2049.987275735294,1775.9452674418606
Europe,451450182.969163,,1975.1625110294117,800.2586511627908
Oceania,11370264.528634362,,78.53549264705882,109.34310465116279
North America,181664659.38325992,,1780.201117647059,1175.9450290697675
South America,110984599.67400882,,162.7483088235294,1063.7101162790698
World,2604208518.017621,38652453453824.0,6385.7721691176475,4316.805465116279
