index,temp_key,chem_key,country_key,iso_code,population,gdp,co2 without land_use,co2
277,30277,20277,101,,114631842.0,,0.0,572.647
278,30278,20278,101,,115057009.0,,0.0,579.205
279,30279,20279,101,,115486119.0,,0.0,590.417
280,30280,20280,101,,115919245.0,,0.0,599.174
281,30281,20281,101,,116365125.0,,0.0,607.821
282,30282,20282,101,,116988636.0,,0.0,415.864
283,30283,20283,101,,117301876.0,,0.0,341.998
284,30284,20284,101,,117778853.0,,0.0,297.847
285,30285,20285,101,,118275288.0,,0.0,272.565
286,30286,20286,101,,118775558.0,,0.0,252.266
287,30287,20287,101,,119279686.0,,0.0,244.828
288,30288,20288,101,,119787704.0,,0.0,236.291
289,30289,20289,101,,120299649.0,,0.0,228.011
290,30290,20290,101,,120815545.0,,0.0,221.159
291,30291,20291,101,,121347692.0,,0.0,217.422
292,30292,20292,101,,122079985.0,,0.0,222.844
293,30293,20293,101,,122466078.0,,0.0,225.153
294,30294,20294,101,,123041990.0,,0.0,228.927
295,30295,20295,101,,123641171.0,,0.0,228.634
296,30296,20296,101,,124245323.0,,0.0,225.849
297,30297,20297,101,,124854484.0,,0.0,227.864
298,30298,20298,101,,125468701.0,,0.0,229.696
299,30299,20299,101,,126088007.0,,0.0,228.67
300,30300,20300,101,,126712451.0,,0.0,225.739
301,30301,20301,101,,127352247.0,,0.0,229.843
302,30302,20302,101,,128189317.0,,0.0,230.539
303,30303,20303,101,,128683453.0,,0.0,234.459
304,30304,20304,101,,129364909.0,,0.0,236.255
305,30305,20305,101,,130067281.0,,0.0,234.02
306,30306,20306,101,,130775459.0,,0.022,237.266
307,30307,20307,101,,131489484.0,,0.037,234.68
308,30308,20308,101,,132209404.0,,0.048,236.852
309,30309,20309,101,,132935290.0,,0.048,234.947
310,30310,20310,101,,133667182.0,,0.081,236.73899999999998
311,30311,20311,101,,134316240.0,,0.132,236.973
312,30312,20312,101,,135050718.0,,0.297,255.495
313,30313,20313,101,,135370390.0,,0.297,263.11600000000004
314,30314,20314,101,,135768025.0,,0.48,270.444
315,30315,20315,101,,136087369.0,,1.799,278.907
316,30316,20316,101,,136413556.0,,2.433,279.212
317,30317,20317,101,,136746634.0,,3.338,283.927
318,30318,20318,101,,137086659.0,,4.258,280.707
319,30319,20319,101,,137433669.0,,4.778,285.55
320,30320,20320,101,,137787711.0,,6.049,285.539
321,30321,20321,101,,138168883.0,,5.518,287.49899999999997
322,30322,20322,101,,138752199.0,,2.33,304.46299999999997
323,30323,20323,101,,139021447.0,,3.909,318.573
324,30324,20324,101,,139489077.0,,5.826,330.31
325,30325,20325,101,,139992790.0,,7.896,338.902
326,30326,20326,101,,140510536.0,,8.911,344.204
327,30327,20327,101,,141042447.0,,10.263,347.31399999999996
328,30328,20328,101,,141588654.0,,11.717,348.952
329,30329,20329,101,,142149308.0,,12.93,353.132
330,30330,20330,101,,142724535.0,,13.403,354.338
331,30331,20331,101,,143305202.0,,15.385,358.152
332,30332,20332,101,,144064903.0,,17.411,392.678
333,30333,20333,101,,144480832.0,,16.865,412.61400000000003
334,30334,20334,101,,145067004.0,,17.954,426.89300000000003
335,30335,20335,101,,145657208.0,,19.606,435.90999999999997
336,30336,20336,101,,146256012.0,,19.551,444.31899999999996
337,30337,20337,101,,146863516.0,,19.606,445.473
338,30338,20338,101,,147479796.0,,23.255,450.514
339,30339,20339,101,,148104957.0,,25.344,457.366
340,30340,20340,101,,148713464.0,,24.725,464.552
341,30341,20341,101,,149572638.0,,25.443,467.90799999999996
342,30342,20342,101,,150861520.0,,28.052,523.718
343,30343,20343,101,,152062212.0,,27.986,557.6899999999999
344,30344,20344,101,,153693154.0,,23.97,581.484
345,30345,20345,101,,155594335.0,,29.045,603.2299999999999
346,30346,20346,101,,157523780.0,,30.631,621.744
347,30347,20347,101,,159481926.0,,32.185,637.038
348,30348,20348,101,,161469210.0,,34.438,644.054
349,30349,20349,101,,163486087.0,,33.841,654.889
350,30350,20350,101,,165533025.0,,34.77,661.717
351,30351,20351,101,,167612506.0,,35.802,673.008
352,30352,20352,101,,169924067.0,,33.696,798.666
353,30353,20353,101,,171875191.0,,29.464,884.751
354,30354,20354,101,,174050964.0,,26.623,931.6310000000001
355,30355,20355,101,,176265430.0,,28.491,967.4639999999999
356,30356,20356,101,,178512860.0,,32.539,994.632
357,30357,20357,101,,180793768.0,,35.91,1016.323
358,30358,20358,101,,183108678.0,,39.016,1037.273
359,30359,20359,101,,185458104.0,,41.844,1049.114
360,30360,20360,101,,187842584.0,,44.013,1051.796
361,30361,20361,101,,190381812.0,,46.853,1069.695
362,30362,20362,101,,193306256.0,,49.649,1544.524
363,30363,20363,101,,195943401.0,,54.023,1846.8919999999998
364,30364,20364,101,,198975492.0,,58.823,2016.058
365,30365,20365,101,,202181814.0,,60.12,2133.504
366,30366,20366,101,,205448384.0,,66.633,2193.7309999999998
367,30367,20367,101,,208776384.0,,67.527,2264.901
368,30368,20368,101,,212172008.0,,68.159,2291.327
369,30369,20369,101,,215621479.0,,67.935,2322.614
370,30370,20370,101,,219141050.0,,71.733,2348.8360000000002
371,30371,20371,101,,223001287.0,,77.324,2384.1420000000003
372,30372,20372,101,,227549730.0,,93.452,2711.38
373,30373,20373,101,,232484439.0,,99.862,2506.231
374,30374,20374,101,,237586485.0,,108.882,2441.531
375,30375,20375,101,,242837870.0,,110.796,2434.6879999999996
376,30376,20376,101,,248245229.0,,116.157,2476.8360000000002
377,30377,20377,101,,253848117.0,,128.058,2544.393
378,30378,20378,101,,259631766.0,,133.509,2614.293
379,30379,20379,101,,265515596.0,,139.953,2709.919
380,30380,20380,101,,271429963.0,,148.305,2805.951
381,30381,20381,101,,277648583.0,,147.911,2876.858
382,30382,20382,101,,284288223.0,,156.64,2757.091
383,30383,20383,101,,291177974.0,,162.079,2114.771
384,30384,20384,101,,298334455.0,,166.426,2086.215
385,30385,20385,101,,305755585.0,,176.448,1908.1280000000002
386,30386,20386,101,,313466087.0,,193.764,1872.5720000000001
387,30387,20387,101,,321447378.0,,213.785,1520.587
388,30388,20388,101,,329658389.0,,221.262,1498.422
389,30389,20389,101,,338159967.0,,237.258,1421.133
390,30390,20390,101,,346980412.0,,257.6,1785.6709999999998
391,30391,20391,101,,356070643.0,,278.139,1566.585
392,30392,20392,101,,365450443.0,,302.943,1521.077
393,30393,20393,101,,375086296.0,,332.204,1291.366
394,30394,20394,101,,384930776.0,,352.239,1493.685
395,30395,20395,101,,395212420.0,,378.421,1279.289
396,30396,20396,101,,406069208.0,,388.865,1280.2060000000001
397,30397,20397,101,,417556976.0,,387.829,1272.722
398,30398,20398,101,,429573262.0,,420.857,1107.344
399,30399,20399,101,,441701768.0,,433.845,1198.998
400,30400,20400,101,,454463053.0,,463.267,1078.013
401,30401,20401,101,,467976240.0,,499.992,1152.99
402,30402,20402,101,,481543145.0,,536.49,1139.584
403,30403,20403,101,,495655683.0,,549.365,1209.0320000000002
404,30404,20404,101,,510540596.0,,572.577,1174.719
405,30405,20405,101,,525335348.0,,595.413,1492.067
406,30406,20406,101,,540183119.0,,650.254,1770.5949999999998
407,30407,20407,101,,555652995.0,,666.655,1930.808
408,30408,20408,101,,571646786.0,,690.671,1648.99
409,30409,20409,101,,588080029.0,,690.763,1615.08
410,30410,20410,101,,604511530.0,,726.007,1614.3069999999998
411,30411,20411,101,,621167964.0,,699.179,1569.049
412,30412,20412,101,,638157571.0,,659.297,1629.5610000000001
413,30413,20413,101,,655040869.0,,688.954,1648.3719999999998
414,30414,20414,101,,671931834.0,,668.606,1858.453
415,30415,20415,101,,689140286.0,,708.741,1973.92
416,30416,20416,101,,706488557.0,,719.465,2115.596
417,30417,20417,101,,724331972.0,,771.882,2178.125
418,30418,20418,101,,742765067.0,,783.332,2084.712
419,30419,20419,101,,761224818.0,,812.606,2143.078
420,30420,20420,101,,779908311.0,,837.844,2260.319
421,30421,20421,101,,799099611.0,,830.411,2100.72
422,30422,20422,101,,818952374.0,,886.403,2086.583
423,30423,20423,101,,839464127.0,,884.0,2156.324
424,30424,20424,101,,860611762.0,,892.559,2487.681
425,30425,20425,101,,882349569.0,,967.17,2605.418
426,30426,20426,101,,904781595.0,,1036.637,2553.716
427,30427,20427,101,,927898412.0,,1057.361,2454.9210000000003
428,30428,20428,101,,951740562.0,,1090.145,2460.371
429,30429,20429,101,,976461747.0,,1132.287,2636.5060000000003
430,30430,20430,101,,1001981577.0,,1181.175,2891.4939999999997
431,30431,20431,101,,1028200528.0,,1171.78,3177.893
432,30432,20432,101,,1055233717.0,,1214.749,3489.397
433,30433,20433,101,,1082676070.0,,1251.306,3728.976
434,30434,20434,101,,1110797495.0,,1259.537,3466.3640000000005
435,30435,20435,101,,1140180888.0,,1268.892,3207.148
436,30436,20436,101,,1170299297.0,,1350.089,2965.876
437,30437,20437,101,,1201108186.0,,1323.759,2790.861
438,30438,20438,101,,1232111820.0,,1363.459,2823.05
439,30439,20439,101,,1263333997.0,,1379.49,2855.166
440,30440,20440,101,,1295265310.0,,1366.411,2717.145
441,30441,20441,101,,1327701380.0,,1467.492,2643.783
442,30442,20442,101,,1360677453.0,,1385.889,2540.4889999999996
443,30443,20443,101,,1393676724.0,,1450.796,2611.478
871,30871,20871,104,ALB,1023495.0,,0.007,2.572
872,30872,20872,104,ALB,1034040.0,,0.007,2.608
873,30873,20873,104,ALB,1044694.0,,0.018,2.6189999999999998
874,30874,20874,104,ALB,1055458.0,,0.128,2.729
