country,iso_code,population,gdp,co2 without land_use,co2
Mauritius,MUS,640386.7383720931,10784460009.73913,1.6750555555555555,1.6766834625322997
Mayotte,MYT,84687.27173913043,,0.024926470588235293,0.02616484268125855
Mexico,MEX,39442924.86046512,461618782228.1575,157.15654198473283,252.45417570566303
Micronesia (country),FSM,48801.508771929824,,0.1484,
Moldova,MDA,2404799.414772727,24722265395.2,7.892529411764706,11.460430574555403
Mongolia,MNG,1212406.5813953488,8043073171.942029,10.468472222222223,16.314274547803617
Montenegro,MNE,461573.29069767444,4164523930.7462687,0.836111111111111,2.094855297157623
Montserrat,MSR,9652.890243902439,,0.026833333333333334,0.019135658914728685
Morocco,MAR,12278714.970930232,101308996370.02817,19.247446808510638,29.552034017812964
Mozambique,MOZ,8637259.273255814,20564826393.971016,1.9277578947368421,38.11146138310893
Myanmar,MMR,20426802.05232558,69577268028.8,6.836872340425533,93.51095954972786
Namibia,NAM,689788.3313953489,8762631258.89855,2.4675,4.174453488372093
Nauru,NRU,4712.309941520468,,0.08493103448275863,
Nepal,NPL,10749055.186046511,26934802828.619717,2.4268472222222224,15.45792280361757
Netherlands,NLD,9123406.5625,181014583988.5318,67.49690909090909,71.2857521141649
Netherlands Antilles,ANT,186149.84615384616,,,
New Caledonia,NCL,156435.5487804878,,2.1551527777777775,2.4516644056847543
New Zealand,NZL,1919596.0697674418,40528373818.91391,13.31186111111111,31.105273901808786
Nicaragua,NIC,1975065.0872093022,8950873611.636364,2.2957594936708863,26.110242051810424
Niger,NER,4787235.075581395,7902063875.710145,0.805015625,11.407998183139535
Nigeria,NGA,53023223.43604651,279824885077.3333,37.467205607476636,104.22103118887199
Niue,NIU,3325.3055555555557,,0.005865384615384615,
North Korea,PRK,11521893.267441861,39510303785.29032,45.771460176991155,53.85973343280511
North Macedonia,MKD,1250470.9244186047,14630660948.059702,5.099,7.8006104651162795
Norway,NOR,2909947.3684210526,65941509136.51613,14.064331578947368,21.176558323133413
Oman,OMN,967307.4883720931,39788680551.884056,24.209810344827588,24.193368484362473
Pakistan,PAK,59425605.680232555,336668738545.1594,69.39396052631578,88.87601285189717
Palau,PLW,9372.982456140351,,0.16147761194029853,
Palestine,PSE,1173293.3430232557,9270387398.309858,1.9668125,2.028103197674419
Panama,PAN,1179562.808139535,14403147463.362831,4.380081081081081,15.054639220615964
Papua New Guinea,PNG,1944244.4185022027,,0.6735588235294118,9.611204172366621
Paraguay,PRY,1957865.1337209302,18987780697.6,2.5921250000000002,32.48799127906977
Peru,PER,10800223.517441861,80035858655.49207,14.462202898550723,46.049528479946076
Philippines,PHL,29701132.296511628,168580003636.1062,31.56788392857143,109.81958741694352
Poland,POL,23772902.905405406,321431172970.42694,127.00942792792793,117.09958490467211
Portugal,PRT,7278565.104651162,71454795195.51593,17.474125,20.18377034883721
Puerto Rico,PRI,2909994.3170731706,60019631348.86957,0.209,2.006308139534884
Qatar,QAT,298400.8604651163,60660962083.246376,29.521356164383565,29.526716629499845
Reunion,REU,512198.4673913043,,0.47026838235294116,0.7633497777017784
Romania,ROU,15243505.720930232,97584635027.6923,52.726292682926825,72.48762407827566
Russia,RUS,94342583.08522727,1851837424865.6272,691.4566647058824,1267.2813158686731
Rwanda,RWA,3639280.3372093025,8151151404.521739,0.44486111111111115,4.594099483204134
Saint Helena,SHN,5721.707317073171,,0.009571428571428571,
Saint Kitts and Nevis,KNA,43941.063953488374,,0.1608780487804878,0.1506513045944413
Saint Lucia,LCA,84761.0,694324316.9855072,0.20655555555555555,0.21949741602067183
Saint Martin (French part),MAF,18623.847222222223,,,
Saint Pierre and Miquelon,SPM,5673.512195121952,,0.05220833333333333,0.06037693798449612
Saint Vincent and the Grenadines,VCT,66462.47093023256,,0.09940277777777778,0.11495510335917314
Samoa,WSM,94550.12209302325,,0.09926388888888889,0.15558947028423772
Sao Tome and Principe,STP,76779.31395348837,281723261.68115944,0.049492957746478876,0.11487667867671142
Saudi Arabia,SAU,7851362.819767442,401001260066.25354,194.25376744186048,195.16442441860465
Senegal,SEN,4032367.1627906975,16219887831.188406,4.0734375,8.913071220930233
Serbia,SRB,4760346.145348838,59019991895.8806,22.25476984126984,29.933421004060538
Seychelles,SYC,42411.97076023392,744700504.231884,0.23896610169491525,
Sierra Leone,SLE,2017046.1189427313,5113032793.043478,0.1419375,16.572414244186046
Singapore,SGP,1141126.718061674,72927032808.16327,7.726080882352941,8.08394134746922
Sint Maarten (Dutch part),SXM,19884.791666666668,,0.7321770833333333,0.7332526647286821
Slovakia,SVK,3717323.773255814,90308436208.94118,24.285808641975308,27.244913293138097
Slovenia,SVN,1341236.6046511629,33309750394.268658,6.861746031746032,9.00689719453673
Solomon Islands,SLB,200335.27906976745,,0.1537285714285714,1.1705541528239203
Somalia,SOM,3903302.831395349,,0.46515277777777775,6.643879521963824
South Africa,ZAF,18189180.627906978,265389168958.17142,155.5442028985507,198.46948196831815
South Korea,KOR,22890518.523255814,409099102681.7196,167.50377876106194,167.32716248199216
South Sudan,SSD,3385412.011627907,,0.5649027777777778,10.71246673126615
Spain,ESP,25932564.552083332,319220476011.7895,78.64689583333333,90.98050629844961
Sri Lanka,LKA,9023080.354651162,40206280051.2,7.236777777777778,23.585719638242896
Sudan,SDN,11691533.959302325,,6.581152777777778,22.471426033591733
Suriname,SUR,235893.36627906977,,1.6289444444444445,3.034630490956072
Svalbard and Jan Mayen,SJM,1878.5757575757575,,,
Sweden,SWE,6330562.0,100723448444.46408,27.31816847826087,45.65922661779575
Switzerland,CHE,4729715.76744186,109374754627.04762,18.65668292682927,20.1290666477595
Syria,SYR,6129800.110465116,76751880869.85916,20.749879120879122,23.71384423715819
Taiwan,TWN,9512106.680232558,215243354000.29092,73.96130158730159,78.46096437799926
Tajikistan,TJK,2586662.1761363638,20641242675.2,2.8680470588235294,3.5416749658002735
Tanzania,TZA,14309984.302325582,36358100294.49275,3.6005555555555557,61.07721834625324
Thailand,THA,25747492.244186047,357921777463.3514,88.44732954545454,210.7520388477801
Togo,TGO,2102308.3255813955,4530634100.869565,0.9485555555555556,6.381945090439277
Tonga,TON,52875.76162790698,,0.0635,0.08013372093023255
Trinidad and Tobago,TTO,650129.3779069767,19458529884.753624,14.235185840707965,14.650366073266104
Tunisia,TUN,4364952.622093023,46289677762.70422,9.982063829787233,13.160162666996536
Turkey,TUR,29306692.755813953,389390449350.53064,72.23428662420382,108.60671104280847
Turkmenistan,TKM,1870942.2159090908,43971927321.6,14.712411764705884,15.811382694938441
Turks and Caicos Islands,TCA,13454.146341463415,,0.20121875,0.20401526162790698
Tuvalu,TUV,4881.0675675675675,,0.0010404411764705882,
Uganda,UGA,10106399.017441861,24576856457.275364,1.5613472222222222,21.370806524547802
Ukraine,UKR,33120308.72159091,402230042624.0,181.08670588235296,257.5032582079344
United Arab Emirates,ARE,1203462.1802325582,152492222916.77612,80.97585714285715,80.98501993355482
United Kingdom,GBR,40423741.47136564,651048777882.3718,288.63500735294116,295.33326316689465
United States,USA,116348023.2927928,3411882727588.663,1900.4813198198199,2623.6842209826104
United States Virgin Islands,VIR,73881.35365853658,,,
Uruguay,URY,1826385.25,18182023894.826668,4.203866666666666,7.4375527131782935
Uzbekistan,UZB,10039319.551136363,159241658777.6,37.33525882352941,39.74987510259918
Vanuatu,VUT,93577.45930232559,,0.08156666666666666,0.9828631782945736
Venezuela,VEN,9158932.203488372,122267044324.69333,70.45018018018018,109.05446506390112
Vietnam,VNM,33576046.40116279,162188602093.97183,35.568230769230766,94.00137030411449
Wallis and Futuna,WLF,11645.472222222223,,0.0241875,
Western Sahara,ESH,175247.9024390244,,,
Yemen,YEM,7806777.680232558,45834728663.18841,9.049958333333333,8.832266472868216
Zambia,ZMB,4315983.703488372,15719136040.811594,3.578597222222222,50.1812600129199
Zimbabwe,ZWE,4397815.912790698,15427842886.492754,6.7076890756302525,20.160543726793044
