country,iso_code,methane,nitrous_oxide
Afghanistan,AFG,11.642333333333333,3.8856666666666664
Albania,ALB,3.3896666666666664,1.198
Algeria,DZA,76.839,7.982333333333333
Andorra,AND,0.03933333333333333,0.0
Angola,AGO,37.713,22.278666666666666
Antigua and Barbuda,ATG,0.17833333333333334,0.015333333333333334
Argentina,ARG,119.97433333333333,41.727
Armenia,ARM,2.3609999999999998,0.8073333333333333
Australia,AUS,138.98066666666668,79.02033333333334
Austria,AUT,8.975666666666665,4.264333333333334
Azerbaijan,AZE,11.594666666666665,3.0786666666666664
Bahamas,BHS,0.20800000000000002,0.041666666666666664
Bahrain,BHR,10.703666666666667,0.10133333333333333
Bangladesh,BGD,78.28533333333333,23.314666666666668
Barbados,BRB,2.264333333333333,0.044000000000000004
Belarus,BLR,16.035,12.656
Belgium,BEL,10.643,6.7396666666666665
Belize,BLZ,1.9273333333333333,0.17666666666666667
Benin,BEN,3.2276666666666665,2.2486666666666664
Bhutan,BTN,0.5483333333333333,0.12133333333333333
Bolivia,BOL,24.497999999999998,9.612
Bosnia and Herzegovina,BIH,3.509,1.0223333333333333
Botswana,BWA,5.026333333333333,4.219666666666667
Brazil,BRA,374.0826666666666,149.405
Brunei,BRN,1.7489999999999999,0.12333333333333334
Bulgaria,BGR,9.826333333333334,4.276333333333333
Burkina Faso,BFA,11.185333333333334,7.488666666666666
Burundi,BDI,0.8123333333333334,1.3646666666666667
Cambodia,KHM,18.047,6.034000000000001
Cameroon,CMR,14.803666666666667,54.979000000000006
Canada,CAN,87.20533333333333,40.63733333333333
Cape Verde,CPV,0.087,0.07233333333333333
Central African Republic,CAF,17.823,18.742666666666665
Chad,TCD,29.296,15.492666666666668
Chile,CHL,11.623333333333333,6.6
China,CHN,946.3246666666666,430.0996666666667
Colombia,COL,65.46433333333333,20.338666666666665
Comoros,COM,0.193,0.04533333333333334
Congo,COG,6.915333333333334,1.7393333333333334
Cook Islands,COK,0.011000000000000001,0.0
Costa Rica,CRI,4.031000000000001,1.7076666666666667
Cote d'Ivoire,CIV,10.896333333333333,3.174
Croatia,HRV,3.6396666666666664,2.3423333333333334
Cuba,CUB,11.775,3.9226666666666667
Cyprus,CYP,0.6536666666666666,0.366
Czechia,CZE,15.366000000000001,5.36
Democratic Republic of Congo,COD,41.063,25.011000000000003
Denmark,DNK,9.221333333333332,5.837666666666666
Djibouti,DJI,0.5836666666666667,0.24333333333333332
Dominica,DMA,0.05500000000000001,0.023
Dominican Republic,DOM,7.633,2.5933333333333333
East Timor,TLS,3.442333333333333,0.2076666666666667
Ecuador,ECU,24.685,4.783333333333333
